dataset_group,mode,mean_dice_difference_vs_none,bootstrap_ci_low,bootstrap_ci_high,holm_adjusted_p
ACDC,gaussian,-0.0130,-0.0247,-0.0012,0.1110
ACDC,wavelet,-0.0097,-0.0212,0.0008,0.1110
ACDC,nlm,-0.0115,-0.0224,-0.0017,0.1110
ACDC,clahe,-0.0257,-0.0405,-0.0112,0.0118
ACDC,hybrid,-0.0029,-0.0097,0.0049,0.1110
CAMUS,gaussian,-0.0050,-0.0087,-0.0014,0.1088
CAMUS,wavelet,0.0030,0.0002,0.0059,0.1269
CAMUS,nlm,0.0012,-0.0012,0.0035,0.4097
CAMUS,clahe,-0.0144,-0.0186,-0.0104,<0.0001
CAMUS,hybrid,-0.0097,-0.0140,-0.0058,<0.0001
ACDC+CAMUS,gaussian,-0.0331,-0.0441,-0.0232,<0.0001
ACDC+CAMUS,wavelet,-0.0175,-0.0274,-0.0092,<0.0001
ACDC+CAMUS,nlm,-0.0055,-0.0102,-0.0011,0.0516
ACDC+CAMUS,clahe,-0.0245,-0.0329,-0.0166,<0.0001
ACDC+CAMUS,hybrid,-0.0477,-0.0577,-0.0381,<0.0001
